"'Area: Nothing :('","0","filler","Area","Nothing :("
"'Area: Ocean Chunk (46S 12W)'","1","progression","Area","3883"
"'Area: Ocean Chunk (46S 10W)'","1","progression","Area","3884"
"'Area: Ocean Chunk (46S 8W)'","1","progression","Area","3885"
"'Area: Ocean Chunk (46S 6W)'","1","progression","Area","3886"
"'Area: Ocean Chunk (44S 14W)'","1","progression","Area","4138"
"'Area: Ocean Chunk (44S 12W)'","1","progression","Area","4139"
"'Area: Ocean Chunk (44S 10W)'","1","progression","Area","4140"
"'Area: Ocean Chunk (44S 8W)'","1","progression","Area","4141"
"'Area: Ocean Chunk (44S 6W)'","1","progression","Area","4142"
"'Area: Ocean Chunk (42S 16W)'","1","progression","Area","4393"
"'Area: Ocean Chunk (42S 14W)'","1","progression","Area","4394"
"'Area: Laguna Western Shore'","1","progression","Area","4395"
"'Area: Ocean Chunk (42S 10W)'","1","progression","Area","4396"
"'Area: Ocean Chunk (42S 8W)'","1","progression","Area","4397"
"'Area: Ocean Chunk (42S 6W)'","1","progression","Area","4398"
"'Area: Stranglewood Southwest Corner'","1","progression","Area","4403"
"'Area: Stranglewood Bridges'","1","progression","Area","4404"
"'Area: Stranglewood Ritual Site'","1","progression","Area","4405"
"'Area: Ocean Chunk (40S 18W)'","1","progression","Area","4648"
"'Area: Ocean Chunk (40S 16W)'","1","progression","Area","4649"
"'Area: Laguna South Shore'","1","progression","Area","4650"
"'Area: Laguna Aurorae Main'","1","progression","Area","4651"
"'Area: Ocean Chunk (40S 10W)'","1","progression","Area","4652"
"'Area: Ocean Chunk (40S 8W)'","1","progression","Area","4653"
"'Area: Ocean Chunk (40S 6W)'","1","progression","Area","4654"
"'Area: Tal Teklan Dock'","1","progression","Area","4656"
"'Area: Stranglewood Mine'","1","progression","Area","4659"
"'Area: Stranglewood River Main'","1","progression","Area","4660"
"'Area: Stranglewood Temple'","1","progression","Area","4661"
"'Area: West Quidamortem Path'","1","progression","Area","4662"
"'Area: Quidamortem Cave'","1","progression","Area","4663"
"'Area: Ket\'sal K\'uk'","1","progression","Area","4664"
"'Area: Kebos Mine'","1","progression","Area","4665"
"'Area: Kebos West Shore'","1","progression","Area","4666"
"'Area: Kebos Northwest Shore'","1","progression","Area","4667"
"'Area: '","1","progression","Area","4763"
"'Area: Ocean Chunk (38S 20W)'","1","progression","Area","4903"
"'Area: Ocean Chunk (38S 18W)'","1","progression","Area","4904"
"'Area: Ocean Chunk (38S 16W)'","1","progression","Area","4905"
"'Area: Ocean Chunk (38S 14W)'","1","progression","Area","4906"
"'Area: Laguna Eastern Shore'","1","progression","Area","4907"
"'Area: Ocean Chunk (38S 10W)'","1","progression","Area","4908"
"'Area: Ocean Chunk (38S 8W)'","1","progression","Area","4909"
"'Area: Tlati Picnic Pond'","1","progression","Area","4910"
"'Area: Southwest Gemstone Lair'","1","progression","Area","4911"
"'Area: Tal Teklan'","1","progression","Area","4912"
"'Area: Tal Teok'","1","progression","Area","4913"
"'Area: Northwest Tempestus'","1","progression","Area","4915"
"'Area: Custodia Pass Path'","1","progression","Area","4916"
"'Area: Custodia Mountains Lake'","1","progression","Area","4917"
"'Area: Quidamortem Path'","1","progression","Area","4918"
"'Area: Mount Quidamortem'","1","progression","Area","4919"
"'Area: Kebos Swamp'","1","progression","Area","4920"
"'Area: River Molch'","1","progression","Area","4921"
"'Area: Farming Guild'","1","progression","Area","4922"
"'Area: West Mount Karuulm'","1","progression","Area","4923"
"'Area: Ocean Chunk (36S 20W)'","1","progression","Area","5159"
"'Area: Ocean Chunk (36S 18W)'","1","progression","Area","5160"
"'Area: Ocean Chunk (36S 16W)'","1","progression","Area","5161"
"'Area: Ocean Chunk (36S 14W)'","1","progression","Area","5162"
"'Area: Ocean Chunk (36S 12W)'","1","progression","Area","5163"
"'Area: Ocean Chunk (36S 10W)'","1","progression","Area","5164"
"'Area: Darkmoon Ravine'","1","progression","Area","5165"
"'Area: Aldarin Coastal Magics'","1","progression","Area","5166"
"'Area: Tonali Crypt Entrance'","1","progression","Area","5167"
"'Area: Central Tlati Rainforest'","1","progression","Area","5168"
"'Area: Rainforest River Crossing'","1","progression","Area","5169"
"'Area: Northeast Tempestus'","1","progression","Area","5171"
"'Area: Custodia Pass Bridge'","1","progression","Area","5172"
"'Area: Custodia Pass Mines'","1","progression","Area","5173"
"'Area: Settlement Path'","1","progression","Area","5174"
